Ordre,Méthode,Titre,URL,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,test
1,charliehebdo,Charlie Hebdo,https://charliehebdo.fr/,0,0,1,0,0,0,0,1
2,canardenchaine,Le Canard Enchaîné,https://www.lecanardenchaine.fr/,0,0,1,0,0,0,0,1
3,revue2presse,Le Monde,http://www.revue2presse.fr/newspaper/lemonde/lemonde-cover.jpg,1,1,1,1,1,1,0,1
4,epresse,Libération,https://www.epresse.fr/quotidien/liberation,1,1,1,1,1,1,0,1
5,epresse,Le Figaro,https://www.epresse.fr/quotidien/le-figaro,1,1,1,1,1,1,0,1
6,epresse,L'Équipe,https://www.epresse.fr/kiosque_premium/l-equipe,1,1,1,1,1,1,1,1
7,courrierinternational,Courrier International,https://www.courrierinternational.com/,0,0,0,1,0,0,0,1
8,epresse,L’Obs,https://www.epresse.fr/magazine/l-obs,0,0,0,1,0,0,0,1
9,epresse,L’Express,https://www.epresse.fr/kiosque_premium/l-express,0,0,1,0,0,0,0,1
10,epresse,Challenges,https://www.epresse.fr/magazine/challenges,0,0,0,1,0,0,0,1
11,epresse,Marianne,https://www.epresse.fr/kiosque_premium/marianne,0,0,0,0,1,0,0,1
12,epresse,Le Point,https://www.epresse.fr/kiosque_premium/le-point,0,0,0,1,0,0,0,1
13,epresse,Politis,https://www.epresse.fr/magazine/politis,0,0,1,0,0,0,0,1
14,leun,Le 1,https://le1hebdo.fr/img/decouvrir/11.jpg,0,0,1,0,0,0,0,1
15,epresse,L'Humanité,https://www.epresse.fr/quotidien/l-humanite,1,1,1,1,1,0,0,1
16,epresse,Les Échos,https://www.epresse.fr/quotidien/les-echos,1,1,1,1,1,0,0,1
17,20m,20 minutes,VIDE,1,1,1,1,1,0,0,1
18,cnews,CNEWS,VIDE,1,1,1,1,1,0,0,1
19,epresse,Aujourd'hui en France,https://www.epresse.fr/quotidien/aujourd-hui-en-france,1,1,1,1,1,1,1,1
20,epresse,Le Parisien,https://www.epresse.fr/quotidien/le-parisien,1,1,1,1,1,1,1,1
21,epresse,La Croix,https://www.epresse.fr/quotidien/la-croix,1,1,1,1,1,1,0,1
22,epresse,Ouest France,https://www.epresse.fr/quotidien/ouest-france,1,1,1,1,1,1,1,1
23,epresse,L'Opinion,https://www.epresse.fr/quotidien/l-opinion,1,1,1,1,1,1,0,1
24,epresse,La Voix du Nord,https://www.epresse.fr/quotidien/la-voix-du-nord/lille,1,1,1,1,1,1,1,1
25,epresse,Sud Ouest,https://www.epresse.fr/quotidien/sud-ouest/edition-bordeaux-rive-gauche,1,1,1,1,1,1,0,1
